Total Nacional;Comunidades y Ciudades Autónomas;Mes;Sexo;Total
Total Nacional;01 Andalucía;Total;Total;79.498
Total Nacional;02 Aragón;Total;Total;14.485
Total Nacional;03 Asturias, Principado de;Total;Total;13.366
Total Nacional;04 Balears, Illes;Total;Total;8.828
Total Nacional;05 Canarias;Total;Total;17.178
Total Nacional;06 Cantabria;Total;Total;6.051
Total Nacional;07 Castilla y León;Total;Total;29.289
Total Nacional;08 Castilla - La Mancha;Total;Total;20.418
Total Nacional;09 Cataluña;Total;Total;69.366
Total Nacional;10 Comunitat Valenciana;Total;Total;49.733
Total Nacional;11 Extremadura;Total;Total;12.333
Total Nacional;12 Galicia;Total;Total;32.841
Total Nacional;13 Madrid, Comunidad de;Total;Total;49.848
Total Nacional;14 Murcia, Región de;Total;Total;12.530
Total Nacional;15 Navarra, Comunidad Foral de;Total;Total;5.760
Total Nacional;16 País Vasco;Total;Total;23.082
Total Nacional;17 Rioja, La;Total;Total;3.409
Total Nacional;18 Ceuta;Total;Total;681
Total Nacional;19 Melilla;Total;Total;574
